,message_idx,time,translated text
57,0.0,"""15:02""",Billy Joe:그래서 내가 너가 맥도날드까지 걸어갈 수 있는지 확인하고 싶었던 거야  
58,0.0,"""15:02""",decoy:그럼 오늘 밤 너에게 전화할 방법이 전혀 없는 거야??  
59,0.0,"""15:03""","Billy Joe:나는 미치지 않았어, 바보야"
60,0.0,"""15:03""",Billy Joe:우리 집에서는 전화가 잘 안 돼. 정말이야.  
61,0.0,"""15:03""",decoy:엄마가 집에 없으면 어디든지 걸어갈 수 있어 하하  
62,0.0,"""15:04""",decoy:내일 몇 시에 일해?  
63,0.0,"""15:04""",Billy Joe:그거 정말 안 좋지. 정말 미안해. 7월에 전화 회사가 그곳에 기지국을 세울 거야  
64,0.0,"""15:04""",Billy Joe:6시야  
65,0.0,"""15:05""","decoy:오, 세상에  "
66,0.0,"""15:05""",decoy:내일 전화해보라고 할까?  
67,0.0,"""15:05""",Billy Joe:응  
68,0.0,"""15:05""",Billy Joe:그래  
69,0.0,"""15:06""","Billy Joe:젠장, 너를 보고 싶어..하하  "
70,0.0,"""15:06""",decoy:좋아. 하하. 엄마가 없을 때 나중에 문자해도 될까?  
71,0.0,"""15:06""",decoy:곧 만날 수 있을 거야  
72,0.0,"""15:07""",decoy:사진 보내줄까?  
73,0.0,"""15:07""","Billy Joe:음.. 오늘 너를 못 보니까, 나는 5시까지 집에 있을 거야  "
74,0.0,"""15:07""",decoy:지금은 전화로 할 수 없어서 컴퓨터로 해야 해  
75,0.0,"""15:07""",Billy Joe:응...사진  
76,0.0,"""15:07""",Billy Joe:음.. 알겠어  
77,0.0,"""15:08""",decoy:??  
78,0.0,"""15:08""",Billy Joe:너가 전화로 할 수 없다는 거야  
79,0.0,"""15:08""",Billy Joe:정말 안 좋네  
80,0.0,"""15:09""",Billy Joe:하하  
81,0.0,"""15:09""",decoy:보통은 할 수 있어 하하  
82,0.0,"""15:09""",decoy:나는 스마트폰이 있어  
83,0.0,"""15:09""",Billy Joe:왜 못 해?  
84,0.0,"""15:10""",Billy Joe:전화에 뭐가 문제야?  
85,0.0,"""15:10""",decoy:전화는 잘 작동해  
86,0.0,"""15:11""",decoy:엄마가 내가 한 일 때문에 화가 나서  
87,0.0,"""15:12""",decoy:어떻게 카메라를 빼앗아갔어. 이번 주말까지 돌려받기로 되어 있어  
88,0.0,"""15:12""",Billy Joe:하지만 그녀가 너의 휴대폰에서 사진 전송을 막았구나  
89,0.0,"""15:13""","Billy Joe:오, 알겠어"
90,0.0,"""15:13""",Billy Joe:음...섹시한 팬티 사진..거울에 비친 모습으로...  
91,0.0,"""15:13""",Billy Joe:아니면 스플릿..하하  
92,0.0,"""15:13""","decoy:작동시키는 방법은 알 것 같은데, 엄마가 알게 되면 전화기를 아예 빼앗아갈까 걱정이야  "
93,0.0,"""15:14""",Billy Joe:그럴 일 없어...너는 교활하잖아  
94,0.0,"""15:15""",Billy Joe:하하  
95,0.0,"""15:15""","decoy:잘 모르겠어 하하. 지금 차에 있는데, 그녀가 여기 있어서 문자하고 싶지 않아. 그러면 나중에 문자도 못 받는 거야? YIM은 어때?  "
96,0.0,"""15:16""",Billy Joe:인터넷이 없어  
97,0.0,"""15:16""",Billy Joe:정말 미안해  
98,0.0,"""15:17""","decoy:괜찮아 :) 음, 그럼 아침에 문자할게  "
99,0.0,"""15:17""",Billy Joe:기대하고 있어  
100,0.0,"""15:17""",Billy Joe:너를 그리워할 거야..하하  
101,0.0,"""15:17""",decoy:좋아 :) 6시는 아니고 조금 늦을 거야 하하  
102,0.0,"""15:18""",Billy Joe:좋아  
103,0.0,"""15:18""","decoy:나도 그리워하고, 이번 주에 엄마의 일정을 알아보려고 노력할게  "
104,0.0,"""15:18""",Billy Joe:응아  
105,0.0,"""15:18""",Billy Joe:잘 알아내길 바래  
106,0.0,"""15:19""",decoy::D )  
107,0.0,"""15:19""",decoy:할게  
108,0.0,"""15:19""",Billy Joe:모두 삭제해  
109,0.0,"""15:20""",decoy:이미 했어 :) :)  
110,0.0,"""15:21""",Billy Joe:인정해봐. 너도 부드럽게 핥히는 걸 원하지? 우리가 그 얘기하고 있었잖아. 좋게 들리지?  
111,0.0,"""15:21""","decoy:응, 정말 그래 하하  "
112,0.0,"""15:22""","Billy Joe:그렇지, 내 여자야  "
113,0.0,"""15:22""",decoy:그거 멋지게 들려  
114,0.0,"""15:22""",Billy Joe:응...내 여자  
115,0.0,"""15:23""",decoy:좋아 :)  
116,0.0,"""15:23""",Billy Joe:아웅  
117,0.0,"""15:23""",decoy:<3  
118,0.0,"""15:25""","Billy Joe:오늘 밤 혼자 방에서 사진 좀 찍어. 컴퓨터에 업로드해서 내일 나한테 보내줄 수 있어, 알겠지?  "
119,0.0,"""15:26""",Billy Joe:너가 얼마나 잘 스플릿할 수 있는지 보고 싶어..하하  
120,1.0,"""6:38""",decoy:안녕 하하  
121,1.0,"""6:38""","Billy Joe:안녕, 매드스  "
122,1.0,"""6:38""",Billy Joe:거기서 너에게 메시지를 썼어  
123,1.0,"""6:39""",decoy:안녕  
124,1.0,"""6:39""",Billy Joe:뭐 하고 있어?  
125,1.0,"""6:39""","decoy:나도 거기 있었고 너에게 메시지를 보냈는데, 거기서 타이핑하는 게 너무 귀찮아 하하  "
126,1.0,"""6:40""",decoy:그래서 바꿨어  
127,1.0,"""6:40""",decoy:나한테 화났어?  
128,1.0,"""6:41""",Billy Joe:아니  
129,1.0,"""6:41""",decoy:방금 일어났어 하하  
130,1.0,"""6:41""",Billy Joe:귀찮아?  
131,1.0,"""6:42""",decoy:Meetme로 문자하는 게 귀찮아 하하  
132,1.0,"""6:42""",Billy Joe:거기서 쓰는 것과 뭐가 달라?  
133,1.0,"""6:43""","decoy:시간이 더 걸려. 잘 모르겠어, 나 진짜 이상해 하하  "
134,1.0,"""6:43""",Billy Joe:괜찮아  
135,1.0,"""6:44""",decoy:그럼 6시쯤 너에게 전화할 수 없어?  
136,1.0,"""6:44""",Billy Joe:너의 컴퓨터에서 사진을 보낼 수 있어?  
137,1.0,"""6:44""",decoy:응  
138,1.0,"""6:46""",Billy Joe:나는 매일 4시에 일어나고 5:45에 출근해. 저녁 5:30에 집에 돌아와.  
139,1.0,"""6:46""",Billy Joe:그때쯤 엄마가 저녁을 준비해  
140,1.0,"""6:46""","decoy:오, 알겠어  "
141,1.0,"""6:47""",decoy:그럼 낮에 전화할 시간을 찾으려고 계속 시도할 수 있어 하하  
142,1.0,"""6:48""",Billy Joe:좋아 보인다  
143,1.0,"""6:49""",decoy:나는 좀 기다려야 해. 왜냐하면 엄마가 어디 가는지에 대해 너무 많은 질문을 하면 내가 뭔가 나쁜 짓을 꾸미고 있다는 걸 알거든 하하  
144,1.0,"""6:49""",Billy Joe:너는 너의 컴퓨터에서 사진을 보낼 수 있다고 했어. 해줄래?  
145,1.0,"""6:49""",decoy:정말 나한테 화나지 않았어?  
146,1.0,"""6:49""",Billy Joe:아니.. 화나지 않았어  
147,1.0,"""6:49""","decoy:응, 보낼게  "
148,1.0,"""6:50""","decoy:좀 미안한 기분이야, 정말 미안해  "
149,1.0,"""6:50""",Billy Joe:언제?  
150,1.0,"""6:50""",Billy Joe:미안해?  
151,1.0,"""6:50""",Billy Joe:왜?  
152,1.0,"""6:50""","decoy:너를 보고 싶고, 노력하고 있어  "
153,1.0,"""6:50""",Billy Joe:알고 있어  
154,1.0,"""6:51""",decoy:그럼 여전히 나를 좋아하는 거야?  
155,1.0,"""6:51""",Billy Joe:너가 나를 신고하지 않을 거라는 걸 확실히 하고 싶어.. 너가 그렇게 하지 않을 거라는 걸 증명할 방법을 알았으면 좋겠어  
156,1.0,"""6:53""",decoy:나는 절대 그렇게 하지 않을 거야  
157,1.0,"""6:53""",Billy Joe:너를 믿을 수 있는 방법을 알고 있어. 사진을 찍어서 컴퓨터에 업로드한 다음 나에게 보내줄 수 있어? 너가 찍은 어떤 사진이든지. 엄마가 보지 않도록 지울 수 있어. 하하  
158,1.0,"""6:53""",decoy:엄마가 나한테 미쳐버릴 거야  
159,1.0,"""6:54""",decoy:내 남자친구에게도 말하지 않을 거야  
160,1.0,"""6:54""","Billy Joe:응, 그리고 너는 내 인생을 망칠 거야...영원히  "
161,1.0,"""6:54""",Billy Joe:너의 가장 친한 친구.. 아니면 남자친구?  
162,1.0,"""6:55""",decoy:가장 친한 친구 하하  
163,1.0,"""6:55""","decoy:지금 카메라가 없고, 컴퓨터에 있는 사진 몇 장만 있어  "
164,1.0,"""6:56""",Billy Joe:아니.. 아무도.. 제발  
165,1.0,"""6:56""","decoy:너에게 전화할 수는 있어, 내 목소리를 들을 수 있도록. 하지만 엄마가 있을 때는 안 돼  "
166,1.0,"""6:57""",decoy:나는 아무에게도 말하지 않을 거야  
167,1.0,"""6:58""","Billy Joe:음, 생각해봤어. 만약 너의 섹시한 팬티를 입고 넓게 스플릿을 하며 누워 있는 사진을 받으면, 그때 너가 우리에 대해 진지하다는 걸 알 수 있을 거야. 그리고 너를 믿을 수 있을 것 같아. 그게 진짜 증거가 될 거지, 맞지?  "
168,1.0,"""6:59""","decoy:뭐라고 말해야 할지 모르겠어. 너는 정말 멋져 보이고, 누구에게도 뭔가를 망치고 싶지 않아  "
169,1.0,"""6:59""",Billy Joe:나는 멋져  
170,1.0,"""6:59""",Billy Joe:그냥 나를 안전하게 지켜줘..제발  
171,1.0,"""7:00""","decoy:나는 정말 너를 좋아하지만, 그런 사진을 보낼 수는 없어. 카메라가 있어도 말이야  "
172,1.0,"""7:00""",decoy:나를 안전하게 지켜줘 하하  
173,1.0,"""7:00""","Billy Joe:너도 인정해야 해.. 그게 좋은 증거가 될 거야, 맞지? 그 사진이  "
174,1.0,"""7:00""",Billy Joe:나는 너를 안전하게 지킬 거야.....안전하고 편안하게....하하  
175,1.0,"""7:01""","decoy:내가 아는 한 소녀가 그런 사진을 찍었는데, 그게 트위터에 올라갔고 트위터는 그것을 삭제하지도 않았어  "
176,1.0,"""7:02""",Billy Joe:세상에... 자기야.. 우리를 위해 맹세할게.. 내 인생을 걸고... 나는 내 전화에서 그것들을 삭제할 거야  
177,1.0,"""7:03""",Billy Joe:내 엄마는 가끔 주말에 내가 일하지 않을 때 내 전화를 빌려가. 그녀는 전화가 없어... 나는 모든 것을 지워버려... 맹세해  
178,1.0,"""7:03""",decoy:그런 사진을 보내는 건 나에게 너무 무섭게 느껴져. 나도 안전하게 느끼고 싶어  
179,1.0,"""7:04""",Billy Joe:좋아... 짧은 반바지  
180,1.0,"""7:04""","Billy Joe:정말 짧고... 섹시해.. 그건 깨끗하지, 맞지?  "
181,1.0,"""7:04""",decoy:잘 모르겠어 하하  
182,1.0,"""7:05""",Billy Joe:제발  
183,1.0,"""7:05""",decoy:지금은 새로운 사진을 찍을 방법이 없어  
184,1.0,"""7:06""",Billy Joe:좋아.. 다른 사진들을 보낼 수 있어?  
185,1.0,"""7:06""","decoy:컴퓨터에서 몇 장 보낼 수 있고, 이번 주말에 카메라를 다시 받을 수 있기를 바래  "
186,1.0,"""7:07""",Billy Joe:나는 누드 없이도 카메라로 섹시한 사진을 찍을 수 있어.. 그게 나를 편안하게 해줄 거야  
187,1.0,"""7:07""",decoy:나는 확실히 조금 있다가 할게  
188,1.0,"""7:08""",decoy:내가 할 수 있는 걸 한번 해볼게  
189,1.0,"""7:08""",Billy Joe:내가 요청한 팬티 사진은.. 너의 얼굴이 들어가지 않아도 돼  
190,1.0,"""7:08""",decoy:어쨌든 내 전화 외에는 카메라가 없어  
191,1.0,"""7:08""",Billy Joe:그냥 멋진 스플릿이면 돼..하하  
192,1.0,"""7:09""","decoy:너는 아마 더러운 사진을 얻으려고 하는 거고, 나를 정말로 좋아하지 않는 것 같아  "
193,1.0,"""7:09""",decoy:남자들은 항상 그렇게 해  
194,1.0,"""7:09""",Billy Joe:맹세해.. 나는 너를 좋아해  
195,1.0,"""7:09""",decoy:알겠어  
196,1.0,"""7:09""",Billy Joe:나는 너를 속이지 않을 거야.. 너에 대해 밤새 생각했어.  
197,1.0,"""7:10""",decoy:조금 있다가 일반 사진 몇 장 보낼게  
198,1.0,"""7:10""",decoy:정말 그랬어?  
199,1.0,"""7:10""",Billy Joe:내가 원하는 대로라면.. 너가 더 나이가 들 때까지 우리가 함께하는 걸 기다릴 수 있어  
200,1.0,"""7:10""",Billy Joe:나는 너를 위해 기다릴 거야.  
201,1.0,"""7:10""",decoy:정말?  
202,1.0,"""7:11""",Billy Joe:응  
203,1.0,"""7:11""",decoy:그럼 그게 무슨 의미야?  
204,1.0,"""7:11""",Billy Joe:나는 너 옆에 누워서 뒤에서 안아주고 싶다는 생각을 계속 했어  
205,1.0,"""7:12""","Billy Joe:맹세해, 밤새 너에 대해 생각했어  "
206,1.0,"""7:12""",decoy::)  
207,1.0,"""7:12""","Billy Joe:나는 너를 아는 것보다 더 좋아해, 그냥 너를 믿고 싶어  "
208,1.0,"""7:12""","decoy:나는 너를 믿어, 나도 그랬어  "
209,1.0,"""7:12""",Billy Joe:무슨 의미인지?  
210,1.0,"""7:13""",Billy Joe:우리가 걸리면 정말 큰일이야  
211,1.0,"""7:13""","decoy:잠깐만, 나가서 개를 산책시켜야 해. 엄마가 들어오기 전에  "
212,1.0,"""7:13""",Billy Joe:개를 산책시키는 동안 나에게 전화해도 돼  
213,1.0,"""7:13""",Billy Joe:전화기를 주머니에 넣어  
214,1.0,"""7:14""",Billy Joe:밖으로 나가서 나에게 전화해줘  
215,2.0,"""7:53""","decoy:미안해, 엄마가 일어나서 나를 재촉하고 있어. 8시에 학교를 시작해야 하고 온라인에 들어가야 해. 빠르게 사진 몇 장 보내고, 쉬는 시간에 문자할게  "
216,2.0,"""8:00""",decoy:내가 Gmail에서 너의 전화로 사진을 보낼 수 있을 것 같지 않아. 계속 시도해볼게. 이메일 주소가 있어?  
217,2.0,"""8:00""","Billy Joe:잠깐만, 알겠어  "
218,2.0,"""8:06""","Billy Joe:나는 이메일이 없어. 하지만 내 여동생의 오래된 Gmail 계정이 아직 작동해. 그녀는 절대 그걸 사용하지 않아. 지금은 다른 것만 사용해. 그녀가 하루는 내 전화를 빌릴 때 Gmail 계정을 남겨두었어. 비밀번호도 아직 그대로야, 방금 확인했어.  "
219,2.0,"""8:08""",decoy:빠르게 메시지를 dancingmaddie757@gmail.com으로 보내줘  
220,2.0,"""8:08""",Billy Joe:너는 나를 너의 전화 연락처 목록에 여자 이름으로 추가해야 해. 안전하게 하자.  
221,2.0,"""8:09""","decoy:좋아 하하, 너를 뭐라고 부르면 좋을까 하하  "
222,2.0,"""8:11""",Billy Joe:너가 이름을 생각해봐.. 기억할 수 있는 뭔가  
223,2.0,"""8:12""","Billy Joe:방금 Gmail로 너에게 메시지를 보냈어. ""안녕, 매디""라고 써 있어  "
224,2.0,"""8:13""",Billy Joe:보낸 곳: *여동생의 계정*  
225,2.0,"""8:14""",Billy Joe:그건 내 여동생의 계정이야. 그녀는 절대 사용하지 않아. 비밀번호도 기억하지 못할 것 같아..하하 나는 아직도 내 전화에 비밀번호가 있어..하하  
226,2.0,"""8:19""","decoy:좋아, 잠깐만 줘  "
